"id","thinning","dev","th","a","d","n","N_ini","N","point_density_sim_gp","mean_deviation"
1,"deviation_10",0.307721731711214,0.1,6,1,10,100,90,0.9,0.412541968336326
1,"deviation_30",1.29207165307833,0.3,6,1,10,100,70,0.7,0.96531522298236
1,"deviation_50",1.45072052720849,0.5,6,1,10,100,50,0.5,1.64482715047682
1,"deviation_80",3.00151522554733,0.8,6,1,10,100,20,0.2,3.25486088850788
2,"deviation_10",0.125853980673664,0.1,6,1.5,10,100,90,0.9,0.212747779207969
2,"deviation_30",0.381738635354681,0.3,6,1.5,10,100,70,0.7,0.537122187050506
2,"deviation_50",0.680140053998498,0.5,6,1.5,10,100,50,0.5,0.998932523019561
2,"deviation_80",2.47029037263465,0.8,6,1.5,10,100,20,0.2,2.43805133869458
3,"deviation_10",0.0562470494462828,0.1,6,3,10,100,90,0.9,0.0771454448904091
3,"deviation_30",0.118561807360448,0.3,6,3,10,100,70,0.7,0.202636452790062
3,"deviation_50",0.283200295397832,0.5,6,3,10,100,50,0.5,0.309749764314976
3,"deviation_80",0.883009058710069,0.8,6,3,10,100,20,0.2,0.930643936463413
4,"deviation_10",0.0480884314138856,0.1,6,4,10,100,90,0.9,0.0653060275588064
4,"deviation_30",0.232419222804706,0.3,6,4,10,100,70,0.7,0.152061680522147
4,"deviation_50",0.382373680930493,0.5,6,4,10,100,50,0.5,0.265254125356907
4,"deviation_80",0.596157642270867,0.8,6,4,10,100,20,0.2,0.677834234249258
5,"deviation_10",0.045145663843646,0.1,6,6,10,100,90,0.9,0.0388354707590732
5,"deviation_30",0.152838572728268,0.3,6,6,10,100,70,0.7,0.108673726546393
5,"deviation_50",0.156246214327404,0.5,6,6,10,100,50,0.5,0.183846321256338
5,"deviation_80",1.11973036764087,0.8,6,6,10,100,20,0.2,0.51664822765273
6,"deviation_10",0.114656792751599,0.1,6,1,20,400,360,3.6,0.109247368654026
6,"deviation_30",0.262259254522621,0.3,6,1,20,400,280,2.8,0.27121787307946
6,"deviation_50",0.410656348751522,0.5,6,1,20,400,200,2,0.498805663132222
6,"deviation_80",1.48977691400945,0.8,6,1,20,400,80,0.8,1.51766483551796
7,"deviation_10",0.0587814144116844,0.1,6,1.5,20,400,360,3.6,0.0676529272142444
7,"deviation_30",0.175147484792779,0.3,6,1.5,20,400,280,2.8,0.149477712332035
7,"deviation_50",0.219946989123772,0.5,6,1.5,20,400,200,2,0.245822891931105
7,"deviation_80",0.584295261653793,0.8,6,1.5,20,400,80,0.8,0.728707353285483
8,"deviation_10",0.0503614168711346,0.1,6,3,20,400,360,3.6,0.0396488694272405
8,"deviation_30",0.0881482567512292,0.3,6,3,20,400,280,2.8,0.0796206261251319
8,"deviation_50",0.0999113534179412,0.5,6,3,20,400,200,2,0.132872258289682
8,"deviation_80",0.201219664330601,0.8,6,3,20,400,80,0.8,0.291236357191867
9,"deviation_10",0.035457698075278,0.1,6,4,20,400,360,3.6,0.0328033213037104
9,"deviation_30",0.0653965739273747,0.3,6,4,20,400,280,2.8,0.0647394709169918
9,"deviation_50",0.113007344253703,0.5,6,4,20,400,200,2,0.10360104923477
9,"deviation_80",0.251868125844929,0.8,6,4,20,400,80,0.8,0.232736038838764
10,"deviation_10",0.0326155314345755,0.1,6,6,20,400,360,3.6,0.027295093031633
10,"deviation_30",0.0548390346288497,0.3,6,6,20,400,280,2.8,0.054607618591806
10,"deviation_50",0.050144484971393,0.5,6,6,20,400,200,2,0.0835592116727197
10,"deviation_80",0.156409946238291,0.8,6,6,20,400,80,0.8,0.184425120965873
11,"deviation_10",0.0591293385523513,0.1,6,1,30,900,810,8.1,0.0672337562567494
11,"deviation_30",0.148545573759434,0.3,6,1,30,900,630,6.3,0.138937137618178
11,"deviation_50",0.21706417363416,0.5,6,1,30,900,450,4.5,0.23355079933954
11,"deviation_80",0.802651712509247,0.8,6,1,30,900,180,1.8,0.643910126338558
12,"deviation_10",0.0517445291316682,0.1,6,1.5,30,900,810,8.1,0.0432562344799419
12,"deviation_30",0.0884794085780425,0.3,6,1.5,30,900,630,6.3,0.0960659992111504
12,"deviation_50",0.17044416994185,0.5,6,1.5,30,900,450,4.5,0.147768637576083
12,"deviation_80",0.394073916579225,0.8,6,1.5,30,900,180,1.8,0.349692429707488
13,"deviation_10",0.0238070135770009,0.1,6,3,30,900,810,8.1,0.0274165530164892
13,"deviation_30",0.0620529716759836,0.3,6,3,30,900,630,6.3,0.0548683806122472
13,"deviation_50",0.0761195334156178,0.5,6,3,30,900,450,4.5,0.0862725010523943
13,"deviation_80",0.203293651424089,0.8,6,3,30,900,180,1.8,0.170656777598871
14,"deviation_10",0.0227071114174003,0.1,6,4,30,900,810,8.1,0.0235567521328071
14,"deviation_30",0.0459449841121213,0.3,6,4,30,900,630,6.3,0.0434416636124562
14,"deviation_50",0.0647971761063606,0.5,6,4,30,900,450,4.5,0.0663860607248535
14,"deviation_80",0.124605269261934,0.8,6,4,30,900,180,1.8,0.134602001946721
15,"deviation_10",0.0142120587950038,0.1,6,6,30,900,810,8.1,0.0190067519228502
15,"deviation_30",0.0459699182205254,0.3,6,6,30,900,630,6.3,0.0391150710425973
15,"deviation_50",0.0631073334515597,0.5,6,6,30,900,450,4.5,0.061583366373797
15,"deviation_80",0.119557666873006,0.8,6,6,30,900,180,1.8,0.119952475720633
16,"deviation_10",0.408608091640065,0.1,6,1,10,100,90,0.9,0.412541968336326
16,"deviation_30",0.784544680122731,0.3,6,1,10,100,70,0.7,0.96531522298236
16,"deviation_50",2.24854134796245,0.5,6,1,10,100,50,0.5,1.64482715047682
16,"deviation_80",3.96899208798884,0.8,6,1,10,100,20,0.2,3.25486088850788
17,"deviation_10",0.161821946043059,0.1,6,1.5,10,100,90,0.9,0.212747779207969
17,"deviation_30",0.496187639423763,0.3,6,1.5,10,100,70,0.7,0.537122187050506
17,"deviation_50",1.01178786871748,0.5,6,1.5,10,100,50,0.5,0.998932523019561
17,"deviation_80",2.57287283070212,0.8,6,1.5,10,100,20,0.2,2.43805133869458
18,"deviation_10",0.0603380417843209,0.1,6,3,10,100,90,0.9,0.0771454448904091
18,"deviation_30",0.223451632571273,0.3,6,3,10,100,70,0.7,0.202636452790062
18,"deviation_50",0.337683061957792,0.5,6,3,10,100,50,0.5,0.309749764314976
18,"deviation_80",1.01344665096966,0.8,6,3,10,100,20,0.2,0.930643936463413
19,"deviation_10",0.0828892152123994,0.1,6,4,10,100,90,0.9,0.0653060275588064
19,"deviation_30",0.131571518000041,0.3,6,4,10,100,70,0.7,0.152061680522147
19,"deviation_50",0.282876433319737,0.5,6,4,10,100,50,0.5,0.265254125356907
19,"deviation_80",0.858322537348678,0.8,6,4,10,100,20,0.2,0.677834234249258
20,"deviation_10",0.041371838378203,0.1,6,6,10,100,90,0.9,0.0388354707590732
20,"deviation_30",0.0736692794908722,0.3,6,6,10,100,70,0.7,0.108673726546393
20,"deviation_50",0.206336463304387,0.5,6,6,10,100,50,0.5,0.183846321256338
20,"deviation_80",0.489630159991307,0.8,6,6,10,100,20,0.2,0.51664822765273
21,"deviation_10",0.0931236475100008,0.1,6,1,20,400,360,3.6,0.109247368654026
21,"deviation_30",0.293553426362586,0.3,6,1,20,400,280,2.8,0.27121787307946
21,"deviation_50",0.59013360257533,0.5,6,1,20,400,200,2,0.498805663132222
21,"deviation_80",1.79814112286513,0.8,6,1,20,400,80,0.8,1.51766483551796
22,"deviation_10",0.0692068810804266,0.1,6,1.5,20,400,360,3.6,0.0676529272142444
22,"deviation_30",0.131588819323937,0.3,6,1.5,20,400,280,2.8,0.149477712332035
22,"deviation_50",0.226938569865075,0.5,6,1.5,20,400,200,2,0.245822891931105
22,"deviation_80",0.891169972243225,0.8,6,1.5,20,400,80,0.8,0.728707353285483
23,"deviation_10",0.0314483447198992,0.1,6,3,20,400,360,3.6,0.0396488694272405
23,"deviation_30",0.0795498770504955,0.3,6,3,20,400,280,2.8,0.0796206261251319
23,"deviation_50",0.150615481447898,0.5,6,3,20,400,200,2,0.132872258289682
23,"deviation_80",0.283957269381817,0.8,6,3,20,400,80,0.8,0.291236357191867
24,"deviation_10",0.0187207901294958,0.1,6,4,20,400,360,3.6,0.0328033213037104
24,"deviation_30",0.0631891073121005,0.3,6,4,20,400,280,2.8,0.0647394709169918
24,"deviation_50",0.105942220542484,0.5,6,4,20,400,200,2,0.10360104923477
24,"deviation_80",0.259545460394384,0.8,6,4,20,400,80,0.8,0.232736038838764
25,"deviation_10",0.0180614770333632,0.1,6,6,20,400,360,3.6,0.027295093031633
25,"deviation_30",0.0496121974613053,0.3,6,6,20,400,280,2.8,0.054607618591806
25,"deviation_50",0.111356487661056,0.5,6,6,20,400,200,2,0.0835592116727197
25,"deviation_80",0.23823245214164,0.8,6,6,20,400,80,0.8,0.184425120965873
26,"deviation_10",0.0778174639466273,0.1,6,1,30,900,810,8.1,0.0672337562567494
26,"deviation_30",0.130338951101376,0.3,6,1,30,900,630,6.3,0.138937137618178
26,"deviation_50",0.240178548717893,0.5,6,1,30,900,450,4.5,0.23355079933954
26,"deviation_80",0.697794033252883,0.8,6,1,30,900,180,1.8,0.643910126338558
27,"deviation_10",0.0362587553362039,0.1,6,1.5,30,900,810,8.1,0.0432562344799419
27,"deviation_30",0.0911849778076461,0.3,6,1.5,30,900,630,6.3,0.0960659992111504
27,"deviation_50",0.145309791766788,0.5,6,1.5,30,900,450,4.5,0.147768637576083
27,"deviation_80",0.389421114959523,0.8,6,1.5,30,900,180,1.8,0.349692429707488
28,"deviation_10",0.0241804478393022,0.1,6,3,30,900,810,8.1,0.0274165530164892
28,"deviation_30",0.0555975413773767,0.3,6,3,30,900,630,6.3,0.0548683806122472
28,"deviation_50",0.087661495264132,0.5,6,3,30,900,450,4.5,0.0862725010523943
28,"deviation_80",0.152354890257408,0.8,6,3,30,900,180,1.8,0.170656777598871
29,"deviation_10",0.0224583020859949,0.1,6,4,30,900,810,8.1,0.0235567521328071
29,"deviation_30",0.045950953582708,0.3,6,4,30,900,630,6.3,0.0434416636124562
29,"deviation_50",0.0549434675997674,0.5,6,4,30,900,450,4.5,0.0663860607248535
29,"deviation_80",0.0984476561747974,0.8,6,4,30,900,180,1.8,0.134602001946721
30,"deviation_10",0.0205270985957721,0.1,6,6,30,900,810,8.1,0.0190067519228502
30,"deviation_30",0.0359277488328904,0.3,6,6,30,900,630,6.3,0.0391150710425973
30,"deviation_50",0.0600580209501522,0.5,6,6,30,900,450,4.5,0.061583366373797
30,"deviation_80",0.139403897983927,0.8,6,6,30,900,180,1.8,0.119952475720633
31,"deviation_10",0.253710841858174,0.1,6,1,10,100,90,0.9,0.412541968336326
31,"deviation_30",0.96994540881367,0.3,6,1,10,100,70,0.7,0.96531522298236
31,"deviation_50",1.53639817060776,0.5,6,1,10,100,50,0.5,1.64482715047682
31,"deviation_80",3.31395904242023,0.8,6,1,10,100,20,0.2,3.25486088850788
32,"deviation_10",0.185719392605187,0.1,6,1.5,10,100,90,0.9,0.212747779207969
32,"deviation_30",0.532357877679796,0.3,6,1.5,10,100,70,0.7,0.537122187050506
32,"deviation_50",0.838211138194209,0.5,6,1.5,10,100,50,0.5,0.998932523019561
32,"deviation_80",2.51452304714979,0.8,6,1.5,10,100,20,0.2,2.43805133869458
33,"deviation_10",0.0838780550807402,0.1,6,3,10,100,90,0.9,0.0771454448904091
33,"deviation_30",0.153348435907008,0.3,6,3,10,100,70,0.7,0.202636452790062
33,"deviation_50",0.371955134680706,0.5,6,3,10,100,50,0.5,0.309749764314976
33,"deviation_80",0.81937328057114,0.8,6,3,10,100,20,0.2,0.930643936463413
34,"deviation_10",0.0227710232357669,0.1,6,4,10,100,90,0.9,0.0653060275588064
34,"deviation_30",0.0810831172630139,0.3,6,4,10,100,70,0.7,0.152061680522147
34,"deviation_50",0.236154798360003,0.5,6,4,10,100,50,0.5,0.265254125356907
34,"deviation_80",0.335303006506245,0.8,6,4,10,100,20,0.2,0.677834234249258
35,"deviation_10",0.0689872714389653,0.1,6,6,10,100,90,0.9,0.0388354707590732
35,"deviation_30",0.13856411320455,0.3,6,6,10,100,70,0.7,0.108673726546393
35,"deviation_50",0.213987550718589,0.5,6,6,10,100,50,0.5,0.183846321256338
35,"deviation_80",0.735515155542798,0.8,6,6,10,100,20,0.2,0.51664822765273
36,"deviation_10",0.0924315177360827,0.1,6,1,20,400,360,3.6,0.109247368654026
36,"deviation_30",0.217036053272078,0.3,6,1,20,400,280,2.8,0.27121787307946
36,"deviation_50",0.388050284580368,0.5,6,1,20,400,200,2,0.498805663132222
36,"deviation_80",1.53598951749913,0.8,6,1,20,400,80,0.8,1.51766483551796
37,"deviation_10",0.0706683018752695,0.1,6,1.5,20,400,360,3.6,0.0676529272142444
37,"deviation_30",0.14306284149464,0.3,6,1.5,20,400,280,2.8,0.149477712332035
37,"deviation_50",0.266311960386525,0.5,6,1.5,20,400,200,2,0.245822891931105
37,"deviation_80",0.656845296025921,0.8,6,1.5,20,400,80,0.8,0.728707353285483
38,"deviation_10",0.0343067452277231,0.1,6,3,20,400,360,3.6,0.0396488694272405
38,"deviation_30",0.0927767743240311,0.3,6,3,20,400,280,2.8,0.0796206261251319
38,"deviation_50",0.135343116056146,0.5,6,3,20,400,200,2,0.132872258289682
38,"deviation_80",0.321848900410153,0.8,6,3,20,400,80,0.8,0.291236357191867
39,"deviation_10",0.041701140361955,0.1,6,4,20,400,360,3.6,0.0328033213037104
39,"deviation_30",0.0572417984784698,0.3,6,4,20,400,280,2.8,0.0647394709169918
39,"deviation_50",0.118062116570219,0.5,6,4,20,400,200,2,0.10360104923477
39,"deviation_80",0.264017764600187,0.8,6,4,20,400,80,0.8,0.232736038838764
40,"deviation_10",0.0335919687116836,0.1,6,6,20,400,360,3.6,0.027295093031633
40,"deviation_30",0.0786761459902142,0.3,6,6,20,400,280,2.8,0.054607618591806
40,"deviation_50",0.0822528910357758,0.5,6,6,20,400,200,2,0.0835592116727197
40,"deviation_80",0.217350309664915,0.8,6,6,20,400,80,0.8,0.184425120965873
41,"deviation_10",0.0683446400178929,0.1,6,1,30,900,810,8.1,0.0672337562567494
41,"deviation_30",0.130219895599233,0.3,6,1,30,900,630,6.3,0.138937137618178
41,"deviation_50",0.225031455043855,0.5,6,1,30,900,450,4.5,0.23355079933954
41,"deviation_80",0.620476022465989,0.8,6,1,30,900,180,1.8,0.643910126338558
42,"deviation_10",0.0327521410178322,0.1,6,1.5,30,900,810,8.1,0.0432562344799419
42,"deviation_30",0.0878990862508552,0.3,6,1.5,30,900,630,6.3,0.0960659992111504
42,"deviation_50",0.135144460630369,0.5,6,1.5,30,900,450,4.5,0.147768637576083
42,"deviation_80",0.296608265204639,0.8,6,1.5,30,900,180,1.8,0.349692429707488
43,"deviation_10",0.0389019048579037,0.1,6,3,30,900,810,8.1,0.0274165530164892
43,"deviation_30",0.0572957001559421,0.3,6,3,30,900,630,6.3,0.0548683806122472
43,"deviation_50",0.0907447797069417,0.5,6,3,30,900,450,4.5,0.0862725010523943
43,"deviation_80",0.176040990123016,0.8,6,3,30,900,180,1.8,0.170656777598871
44,"deviation_10",0.0319412318069848,0.1,6,4,30,900,810,8.1,0.0235567521328071
44,"deviation_30",0.0401748875435015,0.3,6,4,30,900,630,6.3,0.0434416636124562
44,"deviation_50",0.0595770180761788,0.5,6,4,30,900,450,4.5,0.0663860607248535
44,"deviation_80",0.179269741081973,0.8,6,4,30,900,180,1.8,0.134602001946721
45,"deviation_10",0.018441486247584,0.1,6,6,30,900,810,8.1,0.0190067519228502
45,"deviation_30",0.0366658101051973,0.3,6,6,30,900,630,6.3,0.0391150710425973
45,"deviation_50",0.0449463764594716,0.5,6,6,30,900,450,4.5,0.061583366373797
45,"deviation_80",0.138705527797167,0.8,6,6,30,900,180,1.8,0.119952475720633
46,"deviation_10",0.372472275410748,0.1,6,1,10,100,90,0.9,0.412541968336326
46,"deviation_30",1.10832113713319,0.3,6,1,10,100,70,0.7,0.96531522298236
46,"deviation_50",1.88823151094894,0.5,6,1,10,100,50,0.5,1.64482715047682
46,"deviation_80",3.34361437285199,0.8,6,1,10,100,20,0.2,3.25486088850788
47,"deviation_10",0.144912624854908,0.1,6,1.5,10,100,90,0.9,0.212747779207969
47,"deviation_30",0.574419305889846,0.3,6,1.5,10,100,70,0.7,0.537122187050506
47,"deviation_50",1.01456660554033,0.5,6,1.5,10,100,50,0.5,0.998932523019561
47,"deviation_80",2.15379435669497,0.8,6,1.5,10,100,20,0.2,2.43805133869458
48,"deviation_10",0.0386162171061833,0.1,6,3,10,100,90,0.9,0.0771454448904091
48,"deviation_30",0.222501162338969,0.3,6,3,10,100,70,0.7,0.202636452790062
48,"deviation_50",0.280490205281751,0.5,6,3,10,100,50,0.5,0.309749764314976
48,"deviation_80",1.05912663323401,0.8,6,3,10,100,20,0.2,0.930643936463413
49,"deviation_10",0.063333659232641,0.1,6,4,10,100,90,0.9,0.0653060275588064
49,"deviation_30",0.138563160942394,0.3,6,4,10,100,70,0.7,0.152061680522147
49,"deviation_50",0.451192004232906,0.5,6,4,10,100,50,0.5,0.265254125356907
49,"deviation_80",0.85579591209157,0.8,6,4,10,100,20,0.2,0.677834234249258
50,"deviation_10",0.0148333302788012,0.1,6,6,10,100,90,0.9,0.0388354707590732
50,"deviation_30",0.128988406778485,0.3,6,6,10,100,70,0.7,0.108673726546393
50,"deviation_50",0.191509872801789,0.5,6,6,10,100,50,0.5,0.183846321256338
50,"deviation_80",0.53889040036951,0.8,6,6,10,100,20,0.2,0.51664822765273
51,"deviation_10",0.0985990313043414,0.1,6,1,20,400,360,3.6,0.109247368654026
51,"deviation_30",0.272366551654294,0.3,6,1,20,400,280,2.8,0.27121787307946
51,"deviation_50",0.432141916898293,0.5,6,1,20,400,200,2,0.498805663132222
51,"deviation_80",1.16056240629055,0.8,6,1,20,400,80,0.8,1.51766483551796
52,"deviation_10",0.0636730951376015,0.1,6,1.5,20,400,360,3.6,0.0676529272142444
52,"deviation_30",0.136545776904358,0.3,6,1.5,20,400,280,2.8,0.149477712332035
52,"deviation_50",0.227820502490055,0.5,6,1.5,20,400,200,2,0.245822891931105
52,"deviation_80",0.894543665418137,0.8,6,1.5,20,400,80,0.8,0.728707353285483
53,"deviation_10",0.0293721937686758,0.1,6,3,20,400,360,3.6,0.0396488694272405
53,"deviation_30",0.0725404783445347,0.3,6,3,20,400,280,2.8,0.0796206261251319
53,"deviation_50",0.127567795418772,0.5,6,3,20,400,200,2,0.132872258289682
53,"deviation_80",0.274769160999986,0.8,6,3,20,400,80,0.8,0.291236357191867
54,"deviation_10",0.049371662607041,0.1,6,4,20,400,360,3.6,0.0328033213037104
54,"deviation_30",0.0791173812916469,0.3,6,4,20,400,280,2.8,0.0647394709169918
54,"deviation_50",0.0783744241705798,0.5,6,4,20,400,200,2,0.10360104923477
54,"deviation_80",0.189784080431892,0.8,6,4,20,400,80,0.8,0.232736038838764
55,"deviation_10",0.0284337902261848,0.1,6,6,20,400,360,3.6,0.027295093031633
55,"deviation_30",0.0554232139345444,0.3,6,6,20,400,280,2.8,0.054607618591806
55,"deviation_50",0.0791602737897613,0.5,6,6,20,400,200,2,0.0835592116727197
55,"deviation_80",0.196535183126606,0.8,6,6,20,400,80,0.8,0.184425120965873
56,"deviation_10",0.0595594287586115,0.1,6,1,30,900,810,8.1,0.0672337562567494
56,"deviation_30",0.129648587310992,0.3,6,1,30,900,630,6.3,0.138937137618178
56,"deviation_50",0.195108449303762,0.5,6,1,30,900,450,4.5,0.23355079933954
56,"deviation_80",0.549912865993604,0.8,6,1,30,900,180,1.8,0.643910126338558
57,"deviation_10",0.0407094203834615,0.1,6,1.5,30,900,810,8.1,0.0432562344799419
57,"deviation_30",0.10238289371539,0.3,6,1.5,30,900,630,6.3,0.0960659992111504
57,"deviation_50",0.162746421772613,0.5,6,1.5,30,900,450,4.5,0.147768637576083
57,"deviation_80",0.295529776711529,0.8,6,1.5,30,900,180,1.8,0.349692429707488
