"id","deviation_10","deviation_30","deviation_50","deviation_80","a","d","n","N","N_10","N_30","N_50","N_80","point_density_sim_gp","mean_deviation_10","mean_deviation_30","mean_deviation_50","mean_deviation_80"
1,0.253710841858174,0.96994540881367,1.53639817060776,3.31395904242023,6,1,10,100,90,70,50,20,1,0.40109499841635,0.911302056705325,1.65547890835277,3.27870308114101
2,0.185719392605187,0.532357877679796,0.838211138194209,2.51452304714979,6,1.5,10,100,90,70,50,20,1,0.238881027582527,0.592309940650987,0.950708806638291,2.47717073603174
3,0.0838780550807402,0.153348435907008,0.371955134680706,0.81937328057114,6,3,10,100,90,70,50,20,1,0.0779730757300689,0.203332252744675,0.306760363553555,0.9325287565101
4,0.0227710232357669,0.0810831172630139,0.236154798360003,0.335303006506245,6,4,10,100,90,70,50,20,1,0.0592147506967056,0.148340245402363,0.253221586023005,0.61753468058374
5,0.0689872714389653,0.13856411320455,0.213987550718589,0.735515155542798,6,6,10,100,90,70,50,20,1,0.042665233855932,0.11827508565754,0.188362734418997,0.505178802547277
6,0.0924315177360827,0.217036053272078,0.388050284580368,1.53598951749913,6,1,20,400,360,280,200,80,4,0.10385794888702,0.262049558433396,0.474111819975612,1.44042341198993
7,0.0706683018752695,0.14306284149464,0.266311960386525,0.656845296025921,6,1.5,20,400,360,280,200,80,4,0.0690704187830492,0.152113090101673,0.240347272672256,0.713628473643774
8,0.0343067452277231,0.0927767743240311,0.135343116056146,0.321848900410153,6,3,20,400,360,280,200,80,4,0.0384132378372691,0.0793271114150167,0.125232333716494,0.307625775365426
9,0.041701140361955,0.0572417984784698,0.118062116570219,0.264017764600187,6,4,20,400,360,280,200,80,4,0.0345360822940537,0.0661494694646849,0.106192372143818,0.234529754529443
10,0.0335919687116836,0.0786761459902142,0.0822528910357758,0.217350309664915,6,6,20,400,360,280,200,80,4,0.0272980362446578,0.0581664116115118,0.0874262634298676,0.180081279391632
11,0.0683446400178929,0.130219895599233,0.225031455043855,0.620476022465989,6,1,30,900,810,630,450,180,9,0.0681184198756488,0.13837250016587,0.232018194946308,0.63121645269312
12,0.0327521410178322,0.0878990862508552,0.135144460630369,0.296608265204639,6,1.5,30,900,810,630,450,180,9,0.0419839394327869,0.0944819125605886,0.142432979152987,0.342463064314925
13,0.0389019048579037,0.0572957001559421,0.0907447797069417,0.176040990123016,6,3,30,900,810,630,450,180,9,0.0280715710800522,0.052331479376868,0.0872807010358153,0.163769528959775
14,0.0319412318069848,0.0401748875435015,0.0595770180761788,0.179269741081973,6,4,30,900,810,630,450,180,9,0.0237031628530307,0.0417541772614761,0.06664515005784,0.143777846912244
15,0.018441486247584,0.0366658101051973,0.0449463764594716,0.138705527797167,6,6,30,900,810,630,450,180,9,0.019042482123034,0.0384542662291692,0.0584114242068199,0.12083864404672
16,0.372472275410748,1.10832113713319,1.88823151094894,3.34361437285199,6,1,10,100,90,70,50,20,1,0.40109499841635,0.911302056705325,1.65547890835277,3.27870308114101
17,0.144912624854908,0.574419305889846,1.01456660554033,2.15379435669497,6,1.5,10,100,90,70,50,20,1,0.238881027582527,0.592309940650987,0.950708806638291,2.47717073603174
18,0.0386162171061833,0.222501162338969,0.280490205281751,1.05912663323401,6,3,10,100,90,70,50,20,1,0.0779730757300689,0.203332252744675,0.306760363553555,0.9325287565101
19,0.063333659232641,0.138563160942394,0.451192004232906,0.85579591209157,6,4,10,100,90,70,50,20,1,0.0592147506967056,0.148340245402363,0.253221586023005,0.61753468058374
20,0.0148333302788012,0.128988406778485,0.191509872801789,0.53889040036951,6,6,10,100,90,70,50,20,1,0.042665233855932,0.11827508565754,0.188362734418997,0.505178802547277
21,0.0985990313043414,0.272366551654294,0.432141916898293,1.16056240629055,6,1,20,400,360,280,200,80,4,0.10385794888702,0.262049558433396,0.474111819975612,1.44042341198993
22,0.0636730951376015,0.136545776904358,0.227820502490055,0.894543665418137,6,1.5,20,400,360,280,200,80,4,0.0690704187830492,0.152113090101673,0.240347272672256,0.713628473643774
23,0.0293721937686758,0.0725404783445347,0.127567795418772,0.274769160999986,6,3,20,400,360,280,200,80,4,0.0384132378372691,0.0793271114150167,0.125232333716494,0.307625775365426
24,0.049371662607041,0.0791173812916469,0.0783744241705798,0.189784080431892,6,4,20,400,360,280,200,80,4,0.0345360822940537,0.0661494694646849,0.106192372143818,0.234529754529443
25,0.0284337902261848,0.0554232139345444,0.0791602737897613,0.196535183126606,6,6,20,400,360,280,200,80,4,0.0272980362446578,0.0581664116115118,0.0874262634298676,0.180081279391632
26,0.0595594287586115,0.129648587310992,0.195108449303762,0.549912865993604,6,1,30,900,810,630,450,180,9,0.0681184198756488,0.13837250016587,0.232018194946308,0.63121645269312
27,0.0407094203834615,0.10238289371539,0.162746421772613,0.295529776711529,6,1.5,30,900,810,630,450,180,9,0.0419839394327869,0.0944819125605886,0.142432979152987,0.342463064314925
28,0.0262312183731282,0.0481207907697898,0.110144909990718,0.147241170693807,6,3,30,900,810,630,450,180,9,0.0280715710800522,0.052331479376868,0.0872807010358153,0.163769528959775
29,0.0194825022797437,0.0345339566950764,0.0593895238757599,0.110238890661932,6,4,30,900,810,630,450,180,9,0.0237031628530307,0.0417541772614761,0.06664515005784,0.143777846912244
30,0.0140922254834965,0.0493318795564912,0.068941694181389,0.104701561944226,6,6,30,900,810,630,450,180,9,0.019042482123034,0.0384542662291692,0.0584114242068199,0.12083864404672
31,0.28163677055746,0.866970486370991,1.43765134384832,3.47003019142178,6,1,10,100,90,70,50,20,1,0.40109499841635,0.911302056705325,1.65547890835277,3.27870308114101
32,0.117629768034155,0.390657262890735,1.18965734711136,2.45349547537684,6,1.5,10,100,90,70,50,20,1,0.238881027582527,0.592309940650987,0.950708806638291,2.47717073603174
33,0.0696110136081784,0.304135501416428,0.336502601932586,1.12825093561191,6,3,10,100,90,70,50,20,1,0.0779730757300689,0.203332252744675,0.306760363553555,0.9325287565101
