"source","parameter","value","rho_it","it","N"
"10_1_est_GP_param.csv","alpha",3.102557701,10,1,330
"10_1_est_GP_param.csv","rho",1.647820966,10,1,330
"10_1_est_GP_param.csv","sigma",3.010174942,10,1,330
"10_1_est_GP_param.csv","mu[1]",0.877567812,10,1,330
"10_1_est_GP_param.csv","mu[2]",-2.878608096,10,1,330
"10_1_est_GP_param.csv","mu[3]",0.65337611,10,1,330
"10_1_est_GP_param.csv","mu[4]",2.023729917,10,1,330
"10_1_est_GP_param.csv","mu[5]",-2.55520301,10,1,330
"10_10_est_GP_param.csv","alpha",3.366124003,10,10,330
"10_10_est_GP_param.csv","rho",2.049049011,10,10,330
"10_10_est_GP_param.csv","sigma",2.992075782,10,10,330
"10_10_est_GP_param.csv","mu[1]",-1.528067942,10,10,330
"10_10_est_GP_param.csv","mu[2]",0.077676762,10,10,330
"10_10_est_GP_param.csv","mu[3]",-2.050422626,10,10,330
"10_10_est_GP_param.csv","mu[4]",-0.03458,10,10,330
"10_10_est_GP_param.csv","mu[5]",3.415045859,10,10,330
"10_11_est_GP_param.csv","alpha",2.623874222,10,11,330
"10_11_est_GP_param.csv","rho",0.331637368,10,11,330
"10_11_est_GP_param.csv","sigma",2.518152636,10,11,330
"10_11_est_GP_param.csv","mu[1]",-1.832254568,10,11,330
"10_11_est_GP_param.csv","mu[2]",-3.247021566,10,11,330
"10_11_est_GP_param.csv","mu[3]",-3.52018017,10,11,330
"10_11_est_GP_param.csv","mu[4]",-0.956158512,10,11,330
"10_11_est_GP_param.csv","mu[5]",-3.000181052,10,11,330
"10_12_est_GP_param.csv","alpha",2.718965217,10,12,330
"10_12_est_GP_param.csv","rho",1.460258464,10,12,330
"10_12_est_GP_param.csv","sigma",3.027520721,10,12,330
"10_12_est_GP_param.csv","mu[1]",0.525489964,10,12,330
"10_12_est_GP_param.csv","mu[2]",-3.217898292,10,12,330
"10_12_est_GP_param.csv","mu[3]",2.908224305,10,12,330
"10_12_est_GP_param.csv","mu[4]",-1.643598409,10,12,330
"10_12_est_GP_param.csv","mu[5]",-0.960542154,10,12,330
"10_13_est_GP_param.csv","alpha",3.727489365,10,13,330
"10_13_est_GP_param.csv","rho",2.131337734,10,13,330
"10_13_est_GP_param.csv","sigma",3.038575739,10,13,330
"10_13_est_GP_param.csv","mu[1]",-2.994650591,10,13,330
"10_13_est_GP_param.csv","mu[2]",1.568794959,10,13,330
"10_13_est_GP_param.csv","mu[3]",0.788744343,10,13,330
"10_13_est_GP_param.csv","mu[4]",2.432003156,10,13,330
"10_13_est_GP_param.csv","mu[5]",5.259332032,10,13,330
"10_14_est_GP_param.csv","alpha",2.141825773,10,14,330
"10_14_est_GP_param.csv","rho",0.07486051,10,14,330
"10_14_est_GP_param.csv","sigma",2.689395037,10,14,330
"10_14_est_GP_param.csv","mu[1]",1.342822495,10,14,330
"10_14_est_GP_param.csv","mu[2]",0.152182318,10,14,330
"10_14_est_GP_param.csv","mu[3]",3.142247729,10,14,330
"10_14_est_GP_param.csv","mu[4]",0.072264068,10,14,330
"10_14_est_GP_param.csv","mu[5]",-1.156018622,10,14,330
"10_15_est_GP_param.csv","alpha",2.903460808,10,15,330
"10_15_est_GP_param.csv","rho",1.173388074,10,15,330
"10_15_est_GP_param.csv","sigma",2.919332331,10,15,330
"10_15_est_GP_param.csv","mu[1]",-0.773337316,10,15,330
"10_15_est_GP_param.csv","mu[2]",-1.937047316,10,15,330
"10_15_est_GP_param.csv","mu[3]",-3.07909037,10,15,330
"10_15_est_GP_param.csv","mu[4]",2.508869064,10,15,330
"10_15_est_GP_param.csv","mu[5]",-0.874908289,10,15,330
"10_16_est_GP_param.csv","alpha",3.394000389,10,16,330
"10_16_est_GP_param.csv","rho",1.958456142,10,16,330
"10_16_est_GP_param.csv","sigma",2.878956539,10,16,330
"10_16_est_GP_param.csv","mu[1]",-1.573462237,10,16,330
"10_16_est_GP_param.csv","mu[2]",-0.147956375,10,16,330
"10_16_est_GP_param.csv","mu[3]",0.190435818,10,16,330
"10_16_est_GP_param.csv","mu[4]",0.379398139,10,16,330
"10_16_est_GP_param.csv","mu[5]",-1.24700426,10,16,330
"10_17_est_GP_param.csv","alpha",3.100396959,10,17,330
"10_17_est_GP_param.csv","rho",1.723849459,10,17,330
"10_17_est_GP_param.csv","sigma",3.033340254,10,17,330
"10_17_est_GP_param.csv","mu[1]",1.808696563,10,17,330
"10_17_est_GP_param.csv","mu[2]",1.332774604,10,17,330
"10_17_est_GP_param.csv","mu[3]",-2.887716449,10,17,330
"10_17_est_GP_param.csv","mu[4]",0.755116772,10,17,330
"10_17_est_GP_param.csv","mu[5]",-3.214513379,10,17,330
"10_18_est_GP_param.csv","alpha",2.835883376,10,18,330
"10_18_est_GP_param.csv","rho",1.792064344,10,18,330
"10_18_est_GP_param.csv","sigma",2.859366565,10,18,330
"10_18_est_GP_param.csv","mu[1]",-0.757507129,10,18,330
"10_18_est_GP_param.csv","mu[2]",1.559207735,10,18,330
"10_18_est_GP_param.csv","mu[3]",-0.640681932,10,18,330
"10_18_est_GP_param.csv","mu[4]",0.028904169,10,18,330
"10_18_est_GP_param.csv","mu[5]",-1.362887956,10,18,330
"10_19_est_GP_param.csv","alpha",3.167594951,10,19,330
"10_19_est_GP_param.csv","rho",2.006130095,10,19,330
"10_19_est_GP_param.csv","sigma",3.026080887,10,19,330
"10_19_est_GP_param.csv","mu[1]",-0.535895351,10,19,330
"10_19_est_GP_param.csv","mu[2]",0.823338188,10,19,330
"10_19_est_GP_param.csv","mu[3]",2.068696215,10,19,330
"10_19_est_GP_param.csv","mu[4]",1.884152578,10,19,330
"10_19_est_GP_param.csv","mu[5]",4.950022239,10,19,330
"10_2_est_GP_param.csv","alpha",3.213372743,10,2,330
"10_2_est_GP_param.csv","rho",1.799798652,10,2,330
"10_2_est_GP_param.csv","sigma",3.05095577,10,2,330
"10_2_est_GP_param.csv","mu[1]",-0.635548524,10,2,330
"10_2_est_GP_param.csv","mu[2]",4.696371668,10,2,330
"10_2_est_GP_param.csv","mu[3]",0.342386478,10,2,330
"10_2_est_GP_param.csv","mu[4]",0.928396273,10,2,330
"10_2_est_GP_param.csv","mu[5]",-1.260877045,10,2,330
"10_20_est_GP_param.csv","alpha",3.132103693,10,20,330
"10_20_est_GP_param.csv","rho",1.908453103,10,20,330
"10_20_est_GP_param.csv","sigma",2.960115213,10,20,330
"10_20_est_GP_param.csv","mu[1]",-0.798253376,10,20,330
"10_20_est_GP_param.csv","mu[2]",3.264195029,10,20,330
"10_20_est_GP_param.csv","mu[3]",0.388457416,10,20,330
"10_20_est_GP_param.csv","mu[4]",1.971695327,10,20,330
"10_20_est_GP_param.csv","mu[5]",0.862172981,10,20,330
"10_3_est_GP_param.csv","alpha",4.159588866,10,3,330
"10_3_est_GP_param.csv","rho",2.000842303,10,3,330
"10_3_est_GP_param.csv","sigma",2.886359409,10,3,330
"10_3_est_GP_param.csv","mu[1]",-2.001548944,10,3,330
"10_3_est_GP_param.csv","mu[2]",3.79250553,10,3,330
"10_3_est_GP_param.csv","mu[3]",6.892349731,10,3,330
"10_3_est_GP_param.csv","mu[4]",-2.992689181,10,3,330
"10_3_est_GP_param.csv","mu[5]",1.229153349,10,3,330
"10_4_est_GP_param.csv","alpha",3.470900686,10,4,330
"10_4_est_GP_param.csv","rho",2.41378356,10,4,330
"10_4_est_GP_param.csv","sigma",2.880663417,10,4,330
"10_4_est_GP_param.csv","mu[1]",5.129691881,10,4,330
"10_4_est_GP_param.csv","mu[2]",0.47165612,10,4,330
"10_4_est_GP_param.csv","mu[3]",0.972238935,10,4,330
"10_4_est_GP_param.csv","mu[4]",-2.702830959,10,4,330
"10_4_est_GP_param.csv","mu[5]",-0.845230849,10,4,330
"10_5_est_GP_param.csv","alpha",2.675582209,10,5,330
"10_5_est_GP_param.csv","rho",1.498835164,10,5,330
"10_5_est_GP_param.csv","sigma",3.104175705,10,5,330
