"N","param","mean","2.5%","25%","50%","75%","97.5%","species","it"
330,"alpha",2.773332245,1.820557318,2.335444679,2.653573887,3.062097406,4.406392376,"Clupea pallasii",1
330,"rho",0.063844172,-0.895450351,-0.322021329,0.004637158,0.336510122,1.828445542,"Clupea pallasii",1
330,"sigma",3.524449824,3.199162302,3.403700831,3.520394321,3.635829026,3.880219583,"Clupea pallasii",1
330,"mu[1]",-1.739512333,-4.220270887,-2.551911071,-1.758147521,-0.989138281,0.943559015,"Clupea pallasii",1
330,"mu[2]",-2.732002031,-4.787708224,-3.633919266,-2.904160736,-2.079116583,0.562931635,"Clupea pallasii",1
330,"mu[3]",-3.79726998,-4.955131311,-4.560730233,-4.051377254,-3.345696406,-1.064538106,"Clupea pallasii",1
330,"mu[4]",-3.996165006,-4.968120514,-4.666864605,-4.262362041,-3.658258653,-1.350476924,"Clupea pallasii",1
330,"mu[5]",-4.130109707,-4.983117611,-4.750172662,-4.385385344,-3.831592885,-1.688635706,"Clupea pallasii",1
330,"alpha",3.156591992,1.838592858,2.527809515,3.030906598,3.704241881,4.993375021,"Clupea pallasii",10
330,"rho",0.758338114,-0.236928229,0.318762983,0.672630316,1.02303374,2.47358103,"Clupea pallasii",10
330,"sigma",3.566803488,3.266075432,3.463229646,3.559389423,3.666990532,3.900630593,"Clupea pallasii",10
330,"mu[1]",-1.567530868,-4.608862131,-2.776498742,-1.688061617,-0.582597403,2.49620029,"Clupea pallasii",10
330,"mu[2]",-2.19622383,-4.740135753,-3.507060379,-2.495252391,-1.221679431,2.019571295,"Clupea pallasii",10
330,"mu[3]",-3.422330323,-4.950079873,-4.431098617,-3.789323913,-2.863291156,0.420377484,"Clupea pallasii",10
330,"mu[4]",-3.453309666,-4.947817843,-4.471745528,-3.865149161,-2.853372025,0.305547585,"Clupea pallasii",10
330,"mu[5]",-3.645777883,-4.958795026,-4.587655783,-4.047029482,-3.169899297,-0.110963583,"Clupea pallasii",10
330,"alpha",2.872504861,1.797744636,2.355597064,2.712284478,3.222009163,4.764492006,"Clupea pallasii",11
330,"rho",0.308870713,-0.857213182,-0.248392448,0.075826805,0.482307295,2.578270688,"Clupea pallasii",11
330,"sigma",3.591216078,3.246851804,3.462729138,3.581964786,3.711302889,3.980779103,"Clupea pallasii",11
330,"mu[1]",-1.417678053,-3.833707777,-2.337312875,-1.549173239,-0.667237132,1.92776352,"Clupea pallasii",11
330,"mu[2]",-2.553775728,-4.813833944,-3.561867086,-2.829421368,-1.97298511,1.553128335,"Clupea pallasii",11
330,"mu[3]",-3.546630292,-4.941354456,-4.48989444,-3.931992531,-3.120749996,0.425020498,"Clupea pallasii",11
330,"mu[4]",-3.77834274,-4.948777693,-4.63730912,-4.191246162,-3.411897584,-0.152141055,"Clupea pallasii",11
330,"mu[5]",-3.934314549,-4.975769669,-4.719816202,-4.323116508,-3.632846349,-0.330044363,"Clupea pallasii",11
330,"alpha",3.022126846,1.558463234,2.183653918,2.812987801,3.758924493,5.195802969,"Clupea pallasii",12
