"source","parameter","value","rho_it","it","N"
"1_1_sim_GP_param.csv","alpha",4,1,1,9999
"1_1_sim_GP_param.csv","rho",0.01,1,1,9999
"1_1_sim_GP_param.csv","sigma",3,1,1,9999
"1_1_sim_GP_param.csv","mu_0",0.053200324246924,1,1,9999
"1_1_sim_GP_param.csv","mu_50",-1.72944454319542,1,1,9999
"1_1_sim_GP_param.csv","mu_150",-0.588538494510327,1,1,9999
"1_1_sim_GP_param.csv","mu_300",4.51042129388075,1,1,9999
"1_1_sim_GP_param.csv","mu_500",1.69121964696452,1,1,9999
"1_2_sim_GP_param.csv","alpha",4,1,2,9999
"1_2_sim_GP_param.csv","rho",0.01,1,2,9999
"1_2_sim_GP_param.csv","sigma",3,1,2,9999
"1_2_sim_GP_param.csv","mu_0",-4.36545968986584,1,2,9999
"1_2_sim_GP_param.csv","mu_50",3.432423765615,1,2,9999
"1_2_sim_GP_param.csv","mu_150",-3.89387579543078,1,2,9999
"1_2_sim_GP_param.csv","mu_300",-0.113291872033776,1,2,9999
"1_2_sim_GP_param.csv","mu_500",-3.57333435608103,1,2,9999
"1_3_sim_GP_param.csv","alpha",4,1,3,9999
"1_3_sim_GP_param.csv","rho",0.01,1,3,9999
"1_3_sim_GP_param.csv","sigma",3,1,3,9999
"1_3_sim_GP_param.csv","mu_0",-2.07387629894421,1,3,9999
"1_3_sim_GP_param.csv","mu_50",-5.50287929175699,1,3,9999
"1_3_sim_GP_param.csv","mu_150",0.365381145461334,1,3,9999
"1_3_sim_GP_param.csv","mu_300",-3.81336042312998,1,3,9999
"1_3_sim_GP_param.csv","mu_500",1.33715679995768,1,3,9999
"1_4_sim_GP_param.csv","alpha",4,1,4,9999
"1_4_sim_GP_param.csv","rho",0.01,1,4,9999
"1_4_sim_GP_param.csv","sigma",3,1,4,9999
"1_4_sim_GP_param.csv","mu_0",0.0445006830197751,1,4,9999
"1_4_sim_GP_param.csv","mu_50",-3.26015608759838,1,4,9999
"1_4_sim_GP_param.csv","mu_150",-1.27033731591545,1,4,9999
"1_4_sim_GP_param.csv","mu_300",2.09036942476988,1,4,9999
"1_4_sim_GP_param.csv","mu_500",-0.895625729148931,1,4,9999
"1_5_sim_GP_param.csv","alpha",4,1,5,9999
"1_5_sim_GP_param.csv","rho",0.01,1,5,9999
"1_5_sim_GP_param.csv","sigma",3,1,5,9999
"1_5_sim_GP_param.csv","mu_0",-0.477769639994514,1,5,9999
"1_5_sim_GP_param.csv","mu_50",-3.33709813418061,1,5,9999
"1_5_sim_GP_param.csv","mu_150",-1.93083655240153,1,5,9999
"1_5_sim_GP_param.csv","mu_300",-3.02503202922682,1,5,9999
"1_5_sim_GP_param.csv","mu_500",-1.30395968215235,1,5,9999
"1_6_sim_GP_param.csv","alpha",4,1,6,9999
"1_6_sim_GP_param.csv","rho",0.01,1,6,9999
"1_6_sim_GP_param.csv","sigma",3,1,6,9999
"1_6_sim_GP_param.csv","mu_0",-1.20684620315853,1,6,9999
"1_6_sim_GP_param.csv","mu_50",0.677183457994777,1,6,9999
"1_6_sim_GP_param.csv","mu_150",3.84034758048634,1,6,9999
"1_6_sim_GP_param.csv","mu_300",0.288929867933353,1,6,9999
"1_6_sim_GP_param.csv","mu_500",0.432737465372815,1,6,9999
"1_7_sim_GP_param.csv","alpha",4,1,7,9999
"1_7_sim_GP_param.csv","rho",0.01,1,7,9999
"1_7_sim_GP_param.csv","sigma",3,1,7,9999
"1_7_sim_GP_param.csv","mu_0",-4.75734807406831,1,7,9999
"1_7_sim_GP_param.csv","mu_50",-2.12962238630185,1,7,9999
"1_7_sim_GP_param.csv","mu_150",-1.17593196180871,1,7,9999
"1_7_sim_GP_param.csv","mu_300",-1.46453590137537,1,7,9999
"1_7_sim_GP_param.csv","mu_500",1.52435340675254,1,7,9999
"1_8_sim_GP_param.csv","alpha",4,1,8,9999
"1_8_sim_GP_param.csv","rho",0.01,1,8,9999
